Title,Category,Source,Date,Sentiment,Views,Sentiment Positive,Sentiment Negative,Sentiment Neutral,Is Market Category,Is Regulation Category,High Views (Above 20000),Source CoinDesk
Bitcoin Mining Faces Energy Concerns,Market,Forbes Crypto,2025-02-17,Neutral,31875,,,1,1,,1,
Major Bank Adopts Blockchain Technology,Adoption,CryptoSlate,2024-08-04,Positive,7768,1,,,,,,
Bitcoin Hits New All-Time High,Investment,CoinTelegraph,2025-01-21,Positive,16339,1,,,,,,
New Crypto ETF Gains Approval,Market,Bitcoin Magazine,2024-10-21,Negative,21536,,1,,1,,1,
Countries Debate Crypto Regulations,Market,CoinDesk,2025-01-26,Positive,14582,1,,,1,,,1
Major Bank Adopts Blockchain Technology,Mining,CoinTelegraph,2024-04-11,Positive,38281,1,,,,,1,
Bitcoin Price Volatility Increases,Market,Forbes Crypto,2024-08-30,Negative,35848,,1,,1,,1,
Bitcoin Mining Faces Energy Concerns,Regulation,CoinTelegraph,2024-05-25,Neutral,5429,,,1,,1,,
Bitcoin Price Volatility Increases,Regulation,CryptoSlate,2024-04-21,Negative,3943,,1,,,1,,
Bitcoin Halving Event Sparks Investor Interest,Regulation,Forbes Crypto,2024-11-12,Neutral,13881,,,1,,1,,
Crypto Market Sees Sharp Decline,Market,CoinDesk,2024-05-21,Neutral,1516,,,1,1,,,1
Elon Musk Tweets About Crypto Again,Market,CryptoSlate,2025-02-07,Negative,37834,,1,,1,,1,
Major Bank Adopts Blockchain Technology,Adoption,CoinDesk,2024-04-09,Negative,35650,,1,,,,1,1
Countries Debate Crypto Regulations,Market,CoinTelegraph,2024-05-26,Neutral,46267,,,1,1,,1,
Bitcoin Hits New All-Time High,Market,CoinTelegraph,2024-08-16,Negative,17643,,1,,1,,,
Bitcoin Price Volatility Increases,Regulation,CryptoSlate,2024-09-10,Positive,27060,1,,,,1,1,
New Crypto ETF Gains Approval,Market,CoinTelegraph,2024-11-16,Negative,6839,,1,,1,,,
Bitcoin Halving Event Sparks Investor Interest,Mining,CryptoSlate,2024-06-13,Negative,30129,,1,,,,1,
Bitcoin Mining Faces Energy Concerns,Regulation,Bitcoin Magazine,2024-11-02,Neutral,39873,,,1,,1,1,
Bitcoin Price Volatility Increases,Investment,CryptoSlate,2024-11-09,Positive,45397,1,,,,,1,
Bitcoin Halving Event Sparks Investor Interest,Regulation,CryptoSlate,2024-08-04,Neutral,49196,,,1,,1,1,
Countries Debate Crypto Regulations,Investment,CryptoSlate,2025-01-05,Neutral,4077,,,1,,,,
Bitcoin Mining Faces Energy Concerns,Market,Bitcoin Magazine,2024-05-14,Positive,5388,1,,,1,,,
Bitcoin Halving Event Sparks Investor Interest,Regulation,Bitcoin Magazine,2024-10-16,Neutral,30569,,,1,,1,1,
Regulators Crack Down on Bitcoin Exchanges,Market,CryptoSlate,2025-02-05,Negative,13217,,1,,1,,,
New Crypto ETF Gains Approval,Market,CryptoSlate,2024-06-25,Positive,32178,1,,,1,,1,
Bitcoin Hits New All-Time High,Investment,Bitcoin Magazine,2025-01-06,Neutral,30572,,,1,,,1,
Crypto Market Sees Sharp Decline,Regulation,Bitcoin Magazine,2025-03-13,Positive,11483,1,,,,1,,
Countries Debate Crypto Regulations,Regulation,Forbes Crypto,2024-05-08,Negative,12789,,1,,,1,,
Bitcoin Mining Faces Energy Concerns,Mining,CoinDesk,2024-05-07,Positive,43935,1,,,,,1,1
Bitcoin Hits New All-Time High,Mining,Bitcoin Magazine,2024-11-23,Neutral,24027,,,1,,,1,
Major Bank Adopts Blockchain Technology,Mining,CoinDesk,2024-12-27,Negative,42602,,1,,,,1,1
Major Bank Adopts Blockchain Technology,Market,CoinDesk,2024-07-14,Positive,21682,1,,,1,,1,1
Elon Musk Tweets About Crypto Again,Adoption,Forbes Crypto,2024-05-10,Positive,43266,1,,,,,1,
Regulators Crack Down on Bitcoin Exchanges,Mining,CoinDesk,2024-08-30,Positive,42406,1,,,,,1,1
Bitcoin Hits New All-Time High,Investment,CoinTelegraph,2024-04-14,Neutral,22855,,,1,,,1,
Bitcoin Price Volatility Increases,Market,Forbes Crypto,2025-03-03,Positive,34208,1,,,1,,1,
Bitcoin Mining Faces Energy Concerns,Mining,CoinDesk,2024-03-26,Negative,33096,,1,,,,1,1
Bitcoin Price Volatility Increases,Investment,Bitcoin Magazine,2024-11-24,Neutral,23720,,,1,,,1,
New Crypto ETF Gains Approval,Regulation,CoinTelegraph,2025-02-03,Neutral,3133,,,1,,1,,
Major Bank Adopts Blockchain Technology,Regulation,CryptoSlate,2024-05-11,Negative,34363,,1,,,1,1,
Regulators Crack Down on Bitcoin Exchanges,Regulation,CoinDesk,2024-08-10,Negative,8218,,1,,,1,,1
Bitcoin Price Volatility Increases,Market,CryptoSlate,2024-07-23,Negative,46831,,1,,1,,1,
Bitcoin Halving Event Sparks Investor Interest,Investment,CoinDesk,2024-10-11,Positive,28002,1,,,,,1,1
Bitcoin Halving Event Sparks Investor Interest,Investment,CoinTelegraph,2024-12-19,Positive,8535,1,,,,,,
Bitcoin Hits New All-Time High,Regulation,CoinTelegraph,2025-03-13,Negative,7457,,1,,,1,,
Bitcoin Mining Faces Energy Concerns,Mining,CoinDesk,2024-07-15,Positive,49968,1,,,,,1,1
Crypto Market Sees Sharp Decline,Regulation,CryptoSlate,2024-07-12,Neutral,35756,,,1,,1,1,
